ID,W1WG2: CM - Information retrieval,"W2WG2: BL - AI, a modern approach (ch 1)",W3WG1:  CM - Evolutionary robotics,presentation 1,samenvatting (groep),DT1,W5WG1: BL - Complex adaptive systems,W6WG1: CM - Knowledge representation,W7WG1: BL - Deep learning,presentation 2,Poster presentation (group),DT2,Eindcijfer
113,8.0,6.0,7.0,6.0,6.00,6.0,5.0,8.0,7.0,7.0,5.25,4.0,5.74
114,7.0,8.0,7.0,7.0,8.00,6.5,9.0,8.0,7.0,7.0,5.75,9.0,7.63
115,6.0,8.0,8.0,6.0,6.50,6.0,9.0,8.0,8.0,5.0,6.75,6.5,6.76
116,8.0,0.0,7.0,6.0,7.50,8.0,7.0,8.0,7.0,8.0,9.00,5.0,7.03
117,5.0,6.0,7.0,7.0,6.00,5.5,5.0,8.0,7.0,8.0,8.50,7.0,6.73
118,7.0,9.0,7.0,8.0,7.00,6.0,9.0,8.0,8.0,6.0,5.75,5.0,6.45
119,9.0,8.0,6.0,8.0,6.00,4.5,9.0,8.0,6.0,7.0,8.50,6.5,6.63
120,6.0,7.0,6.0,8.0,7.00,6.5,9.0,8.0,6.0,7.0,8.50,6.0,6.99
121,8.0,7.0,8.0,8.0,5.50,7.0,8.0,8.0,8.0,8.0,8.25,6.5,7.23
122,9.0,8.0,7.0,6.0,6.00,6.0,8.0,8.0,8.0,8.0,7.50,4.5,6.42
123,6.0,6.0,7.0,7.0,6.50,6.0,8.0,8.0,5.0,7.0,6.75,6.5,6.61
124,6.0,8.0,8.0,7.0,7.00,7.5,9.0,8.0,8.0,9.0,5.50,6.0,7.07
125,6.0,8.0,8.0,7.0,8.75,9.0,9.0,8.0,8.0,9.0,5.50,6.5,7.79
126,8.0,6.0,7.0,7.0,7.00,6.5,7.0,8.0,8.0,8.0,6.50,5.5,6.68
127,7.0,7.0,7.0,8.0,5.00,4.5,8.0,8.0,7.0,8.0,5.75,5.0,5.75
128,7.0,9.0,7.0,8.0,5.00,8.0,8.0,8.0,9.0,7.0,6.75,4.5,6.73
129,7.0,7.0,6.0,8.0,5.00,3.5,8.5,8.0,7.0,7.5,7.25,3.0,5.15
130,7.0,9.0,7.0,8.0,5.50,4.5,9.0,8.0,8.0,6.0,8.50,6.0,6.48
131,7.0,7.0,8.0,7.0,7.00,4.5,7.0,8.0,8.0,7.0,8.25,4.0,6.03
132,6.0,7.0,0.0,7.0,6.00,6.0,0.0,8.0,8.0,7.0,8.75,4.5,5.91
133,8.0,7.5,9.0,9.0,8.00,6.5,8.0,8.0,8.0,9.0,8.25,4.5,7.03
134,7.0,8.0,8.0,9.0,8.00,7.0,9.0,8.0,9.0,8.0,7.75,5.0,7.20
